id,name,is_tip,is_root,depth,parent_id,branch_length,support,n_children,n_descendants,n_desc_tips,label,meta_taxonomy,meta_geo,meta_inferred_taxonomy,meta_group,meta_species,meta_mitogenome_id
ecb56e53-6143-4023-ad18-44cdfb019a8b,Melecta chinensis NC_077570.1,True,False,7,464e7930-0a98-4090-ad9d-61cdc9541f82,0.4725666493,,0,0,0,Melecta chinensis NC_077570.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila', 'Apidae', 'Melecta']",South Korea,,all_insects,Melecta chinensis,NC_077570.1
a3c87af3-62a7-496e-8970-15dde4f169a3,Seladonia aeraria NC_057084.1,True,False,6,eda8e2c3-244b-454e-a732-5b05ad903c32,0.3155064109,,0,0,0,Seladonia aeraria NC_057084.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Apoidea', 'Anthophila', 'Halictidae', 'Halictinae', 'Halictini', 'Seladonia']",,,all_insects,Seladonia aeraria,NC_057084.1
ba14f750-bd37-4929-a498-b4ee9fc7083d,,False,False,5,9836458f-c96d-4bd1-a2b6-683930746b68,0.0659833843,"{'bootstrap': 98.4, 'alrt': 83.0}",2,3,2,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Vespoidea', 'Vespidae', 'Vespinae']",,,
53b6bb27-30d8-44da-989b-0790a0ea8549,Vespula structor NC_068892.1,True,False,6,ba14f750-bd37-4929-a498-b4ee9fc7083d,0.3323753029,,0,0,0,Vespula structor NC_068892.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Vespoidea', 'Vespidae', 'Vespinae', 'Vespula']",China,,all_insects,Vespula structor,NC_068892.1
ff3aafef-f6a6-46c4-8036-3a38485f8284,,False,False,6,ba14f750-bd37-4929-a498-b4ee9fc7083d,0.28439628,"{'bootstrap': 100.0, 'alrt': 83.0}",1,1,1,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Vespoidea', 'Vespidae', 'Vespinae', 'Vespa']",,,
f487b870-3f4c-4581-932a-43f1322e15a2,Vespa orientalis NC_034003.1,True,False,7,ff3aafef-f6a6-46c4-8036-3a38485f8284,1.0499393395,,0,0,0,Vespa orientalis NC_034003.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Vespoidea', 'Vespidae', 'Vespinae', 'Vespa']","Jordan: Maru field station, Amman",,all_insects,Vespa orientalis,NC_034003.1
17bf468c-31df-4e9e-b6b2-648911c7bc26,,False,False,4,90be220f-fe56-41d8-b3c5-b6c6f5c84c8e,0.1336515875,"{'bootstrap': 100.0, 'alrt': 100.0}",2,20,11,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae']",,,
fe389fa8-d55f-4c58-b0c9-2a82b1459086,,False,False,5,17bf468c-31df-4e9e-b6b2-648911c7bc26,0.0535945905,"{'bootstrap': 99.9, 'alrt': 99.0}",2,18,10,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae']",,,
391228a0-aa30-4159-ba07-225fa05c5a80,,False,False,6,fe389fa8-d55f-4c58-b0c9-2a82b1459086,0.0355753106,"{'bootstrap': 69.4, 'alrt': 81.0}",2,4,3,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Formicinae']",,,
7d58cf13-dfe9-449e-a2ab-56053ac57522,,False,False,7,391228a0-aa30-4159-ba07-225fa05c5a80,0.0494330455,"{'bootstrap': 99.4, 'alrt': 100.0}",2,2,2,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Formicinae']",,,
599c2963-ae8b-4e33-b75f-01c0b66c7c84,Anoplolepis gracilipes NC_039576.1,True,False,8,7d58cf13-dfe9-449e-a2ab-56053ac57522,0.1755120281,,0,0,0,Anoplolepis gracilipes NC_039576.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Formicinae', 'Anoplolepis']",Taiwan: Hsinchu City,,all_insects,Anoplolepis gracilipes,NC_039576.1
38223da6-28a1-4981-a105-5f1dd345461f,Acropyga goeldii NC_046420.1,True,False,8,7d58cf13-dfe9-449e-a2ab-56053ac57522,0.2075926654,,0,0,0,Acropyga goeldii NC_046420.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Formicinae', 'Acropyga']",,,all_insects,Acropyga goeldii,NC_046420.1
aae4ec75-8f28-4ec1-9e39-1975cd34bba1,Camponotus japonicus NC_061037.1,True,False,7,391228a0-aa30-4159-ba07-225fa05c5a80,0.2695164013,,0,0,0,Camponotus japonicus NC_061037.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Formicinae', 'Camponotus']",,,all_insects,Camponotus japonicus,NC_061037.1
0c0c1095-4722-4cb2-ace3-884a018aa699,,False,False,6,fe389fa8-d55f-4c58-b0c9-2a82b1459086,0.033400185,"{'bootstrap': 86.9, 'alrt': 89.0}",2,12,7,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae']",,,
023206ea-e55f-4fd0-92b8-24d83064a9b1,,False,False,7,0c0c1095-4722-4cb2-ace3-884a018aa699,0.0556182976,"{'bootstrap': 100.0, 'alrt': 100.0}",2,10,6,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae']",,,
293d0d17-fcc0-4d16-8a5b-51d91dfad03a,,False,False,8,023206ea-e55f-4fd0-92b8-24d83064a9b1,0.0449714867,"{'bootstrap': 100.0, 'alrt': 100.0}",2,8,5,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae']",,,
66507454-8751-4f3f-b677-649b5c3446de,,False,False,9,293d0d17-fcc0-4d16-8a5b-51d91dfad03a,0.0943150689,"{'bootstrap': 100.0, 'alrt': 100.0}",2,4,3,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Pheidole']",,,
191b425a-9fc9-44e4-9c6e-2e3843699f7f,,False,False,10,66507454-8751-4f3f-b677-649b5c3446de,0.0256678215,"{'bootstrap': 58.5, 'alrt': 84.0}",2,2,2,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Pheidole']",,,
511306e1-be78-40de-a5c2-540748510f8f,Pheidole megacephala NC_080221.1,True,False,11,191b425a-9fc9-44e4-9c6e-2e3843699f7f,0.1280595521,,0,0,0,Pheidole megacephala NC_080221.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Pheidole']",China,,all_insects,Pheidole megacephala,NC_080221.1
691d962f-befa-4b4d-93fa-98e496d33089,Pheidole taipoana NC_080222.1,True,False,11,191b425a-9fc9-44e4-9c6e-2e3843699f7f,0.1112420447,,0,0,0,Pheidole taipoana NC_080222.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Pheidole']",China,,all_insects,Pheidole taipoana,NC_080222.1
3cfd1608-beb7-4384-8501-e660f1f81a84,Pheidole nodus NC_080216.1,True,False,10,66507454-8751-4f3f-b677-649b5c3446de,0.1280495389,,0,0,0,Pheidole nodus NC_080216.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Pheidole']",China,,all_insects,Pheidole nodus,NC_080216.1
86a1a8d1-20f2-4af8-a853-b0a7925391a3,,False,False,9,293d0d17-fcc0-4d16-8a5b-51d91dfad03a,0.0431749556,"{'bootstrap': 99.6, 'alrt': 100.0}",2,2,2,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae']",,,
f24f3112-9dae-4560-8ae2-8bc3181ce775,Solenopsis richteri NC_014677.1,True,False,10,86a1a8d1-20f2-4af8-a853-b0a7925391a3,0.2034007045,,0,0,0,Solenopsis richteri NC_014677.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Solenopsis']",,,all_insects,Solenopsis richteri,NC_014677.1
c753bbad-7e33-4bfb-8edc-36408a88abd7,Carebara diversa NC_060604.1,True,False,10,86a1a8d1-20f2-4af8-a853-b0a7925391a3,0.2261404862,,0,0,0,Carebara diversa NC_060604.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Carebara']",,,all_insects,Carebara diversa,NC_060604.1
7e13027a-aac2-4583-81c8-b0e84152f198,Pristomyrmex punctatus NC_015075.1,True,False,8,023206ea-e55f-4fd0-92b8-24d83064a9b1,0.2504542986,,0,0,0,Pristomyrmex punctatus NC_015075.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Myrmicinae', 'Pristomyrmex']","Japan: Gifu, Kii-Nagashima",,all_insects,Pristomyrmex punctatus,NC_015075.1
092edacb-f17c-4168-9049-fe747ba2f45c,Dolichoderus sibiricus NC_041075.1,True,False,7,0c0c1095-4722-4cb2-ace3-884a018aa699,0.2489962212,,0,0,0,Dolichoderus sibiricus NC_041075.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Dolichoderinae', 'Dolichoderus']",South Korea,,all_insects,Dolichoderus sibiricus,NC_041075.1
927df12b-b002-465e-972e-cb4e65f93a53,Pachycondyla annamita NC_077662.1,True,False,5,17bf468c-31df-4e9e-b6b2-648911c7bc26,0.2818674808,,0,0,0,Pachycondyla annamita NC_077662.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Aculeata', 'Formicoidea', 'Formicidae', 'Ponerinae', 'Ponerini', 'Pachycondyla']",,,all_insects,Pachycondyla annamita,NC_077662.1
7d31bd9a-2227-4c9b-bc88-ccd3508b1328,,False,False,3,e7df38b4-e9c2-4124-beb7-fb1ff9dde74d,0.0205176195,"{'bootstrap': 25.9, 'alrt': 56.0}",2,28,15,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita']",,,
276c41dc-9945-4d6f-87ab-0961883bc3d6,,False,False,4,7d31bd9a-2227-4c9b-bc88-ccd3508b1328,0.0175945875,"{'bootstrap': 33.0, 'alrt': 46.0}",2,26,14,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita']",,,
43469a01-0ecd-4a04-a7ef-1d8f74bfc25f,,False,False,5,276c41dc-9945-4d6f-87ab-0961883bc3d6,0.0338364374,"{'bootstrap': 93.3, 'alrt': 61.0}",2,18,10,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha']",,,
2c70bc56-4337-4704-8394-15f3815046c9,,False,False,6,43469a01-0ecd-4a04-a7ef-1d8f74bfc25f,0.1421946396,"{'bootstrap': 100.0, 'alrt': 100.0}",2,16,9,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea']",,,
37da0e86-caeb-4da3-9928-3f2976835202,,False,False,7,2c70bc56-4337-4704-8394-15f3815046c9,0.0734614674,"{'bootstrap': 100.0, 'alrt': 100.0}",2,12,7,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea']",,,
8eada1c0-e1f3-43e4-8d7d-a02e99556cdc,,False,False,8,37da0e86-caeb-4da3-9928-3f2976835202,0.3360156729,"{'bootstrap': 100.0, 'alrt': 100.0}",2,4,3,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea']",,,
cc3790d3-e1a2-4c92-a416-c904a495ebd0,,False,False,9,8eada1c0-e1f3-43e4-8d7d-a02e99556cdc,0.7539870907,"{'bootstrap': 100.0, 'alrt': 100.0}",2,2,2,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea']",,,
c11cfc16-42fc-480a-829d-a8ec43aa8e08,Eupelmus anpingensis NC_068239.1,True,False,10,cc3790d3-e1a2-4c92-a416-c904a495ebd0,0.2762092861,,0,0,0,Eupelmus anpingensis NC_068239.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea', 'Eupelmidae', 'Eupelminae', 'Eupelmus']",China,,all_insects,Eupelmus anpingensis,NC_068239.1
2ac38f93-b2c6-4f39-8021-dbe70dc7a5a4,Trichogramma cacaeciae NC_069040.1,True,False,10,cc3790d3-e1a2-4c92-a416-c904a495ebd0,0.1653096396,,0,0,0,Trichogramma cacaeciae NC_069040.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea', 'Trichogrammatidae', 'Trichogramma']",,,all_insects,Trichogramma cacaeciae,NC_069040.1
3df82d41-33f8-4e9d-9545-4c4dd666d89d,Anagyrus galinae NC_084266.1,True,False,9,8eada1c0-e1f3-43e4-8d7d-a02e99556cdc,0.2181631151,,0,0,0,Anagyrus galinae NC_084266.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea', 'Encyrtidae', 'Tetracneminae', 'Anagyrus']",,,all_insects,Anagyrus galinae,NC_084266.1
87d4056c-9b49-43b1-b0ba-0e8aeba1b00b,,False,False,8,37da0e86-caeb-4da3-9928-3f2976835202,0.0284569044,"{'bootstrap': 98.9, 'alrt': 100.0}",2,6,4,,,,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea', 'Encyrtidae', 'Encyrtinae']",,,
c6846492-11c9-4a51-bccf-0013aad7d115,Encyrtus sasakii NC_051458.1,True,False,9,87d4056c-9b49-43b1-b0ba-0e8aeba1b00b,0.2980669623,,0,0,0,Encyrtus sasakii NC_051458.1,"['Eukaryota', 'Metazoa', 'Ecdysozoa', 'Arthropoda', 'Altocrustacea', 'Allotriocarida', 'Hexapoda', 'Insecta', 'Pterygota', 'Neoptera', 'Eumetabola', 'Endopterygota', 'Hymenoptera', 'Apocrita', 'Proctotrupomorpha', 'Chalcidoidea', 'Encyrtidae', 'Encyrtinae', 'Encyrtus']",China,,all_insects,Encyrtus sasakii,NC_051458.1
